Move Number,Best Score
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,48
9,49
10,50
11,51
12,52
13,53
14,54
15,55
16,56
17,57
18,58
19,59
20,60
21,101
22,102
23,103
24,104
25,145
26,266
27,307
28,308
29,309
30,430
31,431
32,432
33,433
34,434
35,435
36,436
37,557
38,558
39,559
40,680
41,681
42,682
43,683
44,804
45,805
46,806
47,807
48,808
49,809
50,810
51,811
52,812
53,813
54,814
55,935
56,936
57,937
58,1058
59,1059
60,1100
61,1101
62,1102
63,1103
64,1144
65,1145
66,1186
67,1187
68,1188
69,1189
70,1310
71,1311
72,1312
73,1313
74,1314
75,1435
76,1476
77,1477
78,1518
79,1519
80,1520
81,1521
82,1522
83,1563
84,1564
85,1685
86,1686
87,1687
88,1688
89,1729
90,1730
91,1731
92,1732
93,1773
94,1774
95,1775
96,1896
97,1897
98,1898
99,1899
100,1900
101,1901
102,2022
103,2023
104,2024
105,2025
106,2026
107,2027
108,2028
109,2029
110,2030
111,2031
112,2032
113,2153
114,2154
115,2275
116,2276
117,2317
118,2318
119,2319
120,2620
121,2621
122,2622
123,2623
124,2624
125,2625
126,2626
127,2627
128,2628
129,2749
130,2750
131,2751
132,2872
133,2873
134,2874
135,2875
136,2876
137,2877
138,2998
139,2999
140,3000
141,3001
142,3002
143,3043
144,3044
145,3045
146,3166
147,3167
148,3168
149,3169
150,3170
151,3211
152,3252
153,3253
154,3294
155,3335
156,3376
157,3377
158,3378
159,3379
160,3500
161,3501
162,3502
163,3503
164,3504
165,3505
166,3506
167,3507
168,3628
169,3629
170,3630
171,3631
172,3632
173,3633
174,3754
175,3755
176,3756
177,3757
178,3758
179,3759
180,3760
181,3761
182,3762
183,3763
184,3764
185,3765
186,3886
187,3887
188,3928
189,3969
190,3970
191,4011
192,4012
193,4053
194,4054
195,4175
196,4176
197,4177
198,4178
199,4219
200,4220
201,4341
202,4342
203,4343
204,4344
205,4345
206,4346
207,4347
208,4348
209,4349
210,4350
211,4351
212,4352
213,4353
214,4354
215,4655
216,4656
217,4697
218,4818
219,4819
220,4820
221,4861
222,4862
223,4863
224,4864
225,4865
226,5166
227,5167
228,5168
229,5289
230,5290
231,5291
232,5292
233,5293
234,5334
235,5455
236,5456
237,5457
238,5458
239,5459
240,5460
241,5461
242,5462
243,5583
244,5704
245,5705
246,5706
247,5707
248,5828
249,5869
250,5870
251,5871
252,5872
253,5873
254,5874
255,5875
256,5996
257,5997
258,5998
259,5999
260,6000
261,6001
262,6002
263,6123
264,6124
265,6245
266,6246
267,6247
268,6248
269,6249
270,6250
271,6251
272,6252
273,6373
274,6374
275,6375
276,6376
277,6377
278,6498
279,6499
280,6500
281,6541
282,6542
283,6543
284,6664
285,6665
286,6666
287,6667
288,6668
289,6669
290,6670
291,6671
292,6672
293,6673
294,6674
295,6675
296,6676
297,6677
298,6678
299,6679
300,6680
301,6721
302,6722
303,6843
304,6844
305,6885
306,6926
307,7047
308,7048
309,7049
310,7050
311,7051
312,7052
313,7093
314,7094
315,7135
316,7136
317,7137
318,7258
319,7259
320,7380
321,7381
322,7382
323,7503
324,7504
325,7505
326,7506
327,7507
328,7628
329,7669
330,7670
331,7671
332,7672
333,7673
334,7674
335,7675
336,7796
337,7797
338,7798
339,7919
340,7920
341,7921
342,7962
343,7963
344,7964
345,8005
346,8006
347,8007
348,8008
349,8129
350,8130
351,8131
352,8132
353,8133
354,8134
355,8255
356,8256
357,8257
358,8258
359,8259
360,8300
361,8341
362,8462
363,8463
364,8464
365,8465
366,8506
367,8507
368,8508
369,8509
370,8630
371,8631
372,8632
373,8633
374,8634
375,8635
376,8636
377,8637
378,8638
379,8639
380,8640
381,8641
382,8642
383,8643
384,8644
385,8765
386,8766
387,8767
388,8768
389,8769
390,8770
391,8811
392,8812
393,8813
394,8814
395,8815
396,8816
397,8817
398,8818
399,10019
400,10020
401,10021
402,10142
403,10143
404,10144
405,10145
406,10146
407,10147
408,10148
409,10149
410,10150
411,10151
412,10152
413,10153
414,10274
415,10275
416,10276
417,10397
418,10398
419,10399
420,10400
421,10521
422,10522
423,10523
424,10524
425,10525
426,10526
427,10567
428,10868
429,10869
430,10870
431,10871
432,10912
433,10953
434,10954
435,10955
436,10956
437,10957
438,10958
439,10999
440,11000
441,11001
442,11002
443,11003
444,11304
445,11425
446,11426
447,11427
448,11428
449,11429
450,11430
451,11431
452,11432
453,11553
454,11554
455,11595
456,11596
457,11717
458,11718
459,11719
460,11720
461,11761
462,11762
463,11803
464,11804
465,11805
466,11806
467,11807
468,11928
469,11929
470,11930
471,11971
472,11972
473,11973
474,11974
475,11975
476,11976
477,11977
478,12018
479,12019
480,12020
481,12021
482,12022
483,12023
484,12024
485,12025
486,13226
487,13227
488,13228
489,13229
490,13530
491,13531
492,13532
493,13533
494,13534
495,13575
496,13576
497,13617
498,13618
499,13619
500,13620
501,13661
502,13662
503,13663
504,13784
505,13785
506,13786
507,13787
508,13908
509,13909
510,13910
511,13911
512,13912
513,13953
514,13954
515,13955
516,14076
517,14077
518,14078
519,14079
520,14120
521,14121
522,14122
523,14123
524,14244
525,14245
526,14246
527,14247
528,14248
529,14249
530,14290
531,14331
532,14332
533,14333
534,14334
535,14335
536,14456
537,14497
538,14498
539,14499
540,14500
541,14501
542,14502
543,14503
544,14504
545,14625
546,14626
547,14627
548,14668
549,14709
550,14710
551,14711
552,14712
553,14713
554,14714
555,14835
556,14836
557,14837
558,14838
559,14839
560,14960
561,14961
562,15082
563,15083
564,15124
565,15165
566,15166
567,15167
568,15168
569,15289
570,15290
571,15291
572,15292
573,15333
574,15334
575,15335
576,15376
577,15417
578,15418
579,15459
580,15580
581,15581
582,15582
583,15703
584,15704
585,15705
586,15706
587,15707
588,15708
589,15709
590,15710
591,15711
592,15712
593,15833
594,15874
595,15875
596,15876
597,15877
598,15878
599,15879
600,15880
601,15921
602,15922
603,16043
604,16044
605,16045
606,16166
607,16167
608,16168
609,16169
610,16170
611,16171
612,16172
613,16173
614,16174
615,16215
616,16336
617,16337
618,16338
619,16339
620,16340
621,16381
622,16422
623,16463
624,16504
625,16505
626,16546
627,16547
628,16548
629,16549
630,16550
631,16671
632,16672
633,16673
634,16714
635,16715
636,16756
637,16757
638,16878
639,16879
640,16880
641,16881
642,16882
643,16883
644,16884
645,16885
646,17006
647,17007
648,17008
649,17009
650,17010
651,17011
652,17012
653,17313
654,17314
655,17315
656,17316
657,17357
658,17358
659,17359
660,17360
661,17361
662,17362
663,17483
664,17484
665,17485
666,17486
667,17527
668,17568
669,17569
670,17570
671,17611
672,17612
673,17653
674,17654
675,17655
676,17696
677,17697
678,17698
679,17699
680,17700
681,17701
682,17822
683,17823
684,17824
685,17825
686,17826
687,17827
688,17828
689,19029
690,19030
691,19031
692,19032
693,19073
694,19074
695,19075
696,19076
697,19077
698,19078
699,19199
700,19200
701,19321
702,19322
703,19323
704,19324
705,19325
706,19446
707,19447
708,19448
709,19449
710,19450
711,19451
712,19452
713,19753
714,19754
715,19755
716,19756
717,19757
718,19878
719,19879
720,19880
721,19881
722,19882
723,19883
724,19884
725,19885
726,20186
727,20307
728,20308
729,20309
730,20310
731,20351
732,20352
733,20353
734,20354
735,20355
736,20356
737,20357
738,20358
739,20479
740,20480
741,20481
742,20482
743,20483
744,20484
745,20605
746,20606
747,20607
748,20608
749,20609
750,20610
751,20611
752,20612
753,20613
754,20614
755,20615
756,20616
757,20737
758,20738
759,20739
760,20740
761,20741
762,20782
763,20903
764,20944
765,21065
766,21066
767,21067
768,21068
769,21069
770,21070
771,21071
772,21072
773,21073
774,21074
775,21075
776,21076
777,21197
778,21198
779,21199
780,21200
781,21201
782,21202
783,21503
784,21624
785,21625
786,21626
787,21627
788,21668
789,21669
790,21670
791,21671
792,21672
793,21713
794,21714
795,21715
796,21836
797,21877
798,21878
799,21879
800,21920
801,21921
802,21922
803,22043
804,22044
805,22045
806,22166
807,22167
808,22168
809,22169
810,22170
811,22171
812,22172
813,22293
814,22294
815,22295
816,22416
817,22417
818,22418
819,22419
820,22420
821,22421
822,22422
823,22423
824,22424
825,22425
826,22426
827,22427
828,23628
829,23629
830,23630
831,23631
832,23632
833,23633
834,23634
835,23755
836,23756
837,23757
838,23758
839,23759
840,23760
841,23881
842,23882
843,23883
844,23924
845,23925
846,23926
847,23967
848,24008
849,24009
850,24010
851,24051
852,24052
853,24053
854,24054
855,24055
856,24056
857,25257
858,25258
859,25299
860,25300
861,25421
862,25422
863,25423
864,25424
865,25425
866,25546
867,25547
868,25548
869,25549
870,25590
871,25591
