Move Number,Best Score
0,0
1,1
2,2
3,3
4,4
5,5
6,46
7,47
8,48
9,89
10,90
11,91
12,92
13,133
14,134
15,135
16,136
17,137
18,138
19,139
20,140
21,181
22,182
23,183
24,184
25,485
26,486
27,487
28,488
29,529
30,570
31,571
32,572
33,613
34,614
35,615
36,616
37,617
38,618
39,739
40,780
41,821
42,822
43,823
44,824
45,865
46,906
47,907
48,908
49,909
50,950
51,951
52,952
53,953
54,954
55,995
56,1036
57,1077
58,1078
59,1079
60,1080
61,1121
62,1122
63,1163
64,1204
65,1205
66,1206
67,1207
68,1208
69,1209
70,1210
71,1211
72,1212
73,1213
74,1214
75,1215
76,1216
77,1217
78,1218
79,1219
80,1220
81,1221
82,1342
83,1343
84,1384
85,1385
86,1386
87,1507
88,1508
89,1509
90,1510
91,1511
92,1512
93,1513
94,1554
95,1855
96,1856
97,1857
98,1858
99,1859
100,1860
101,1861
102,1982
103,1983
104,1984
105,1985
106,2106
107,2107
108,2108
109,2229
110,2270
111,2311
112,2312
113,2313
114,2314
115,2315
116,2316
117,2317
118,2358
119,2479
120,2480
121,2481
122,2522
123,2523
124,2524
125,2525
126,2566
127,2567
128,2568
129,2569
130,2570
131,2571
132,2572
133,2573
134,2694
135,2735
136,2736
137,2737
138,2738
139,2739
140,2740
141,2861
142,2902
143,2943
144,2944
145,2945
146,2986
147,2987
148,2988
149,2989
150,3030
151,3031
152,3032
153,3033
154,3034
155,3335
156,3336
157,3337
158,3338
159,3339
160,3340
161,3341
162,3462
163,3463
164,3504
165,3505
166,3546
167,3587
168,3588
169,3589
170,3590
171,3631
172,3632
173,3673
174,3674
175,3715
176,3716
177,3717
178,3718
179,3719
180,3720
181,3721
182,3842
183,3843
184,3844
185,3845
186,3966
187,4007
188,4008
189,4009
190,4010
191,4011
192,4052
193,4093
194,4094
195,4095
196,4136
197,4177
198,4178
199,4179
200,4180
201,4181
202,4182
203,4183
204,4184
205,4185
206,4186
207,4487
208,4488
209,4489
210,4490
211,4611
212,4652
213,4693
214,4694
215,4695
216,4736
217,4777
218,4778
219,4819
220,4820
221,4821
222,4822
223,4863
224,4904
225,4945
226,4946
227,4947
228,4988
229,4989
230,4990
231,4991
232,4992
233,5033
234,5034
235,5075
236,5076
237,5077
238,5078
239,5079
240,5080
241,5081
242,5122
243,5163
244,5204
245,5205
246,5206
247,5207
248,5208
249,5249
250,5370
251,5411
252,5412
253,5453
254,5454
255,5455
256,5496
257,5537
258,5578
259,5619
260,5620
261,5621
262,5622
263,5663
264,5704
265,5745
266,5746
267,5747
268,5788
269,5789
270,5790
271,5831
272,5832
273,5833
274,5834
275,5875
276,5876
277,5917
278,5918
279,5919
280,5920
281,6041
282,6042
283,6043
284,6044
285,6045
286,6086
287,6087
288,6128
289,6129
290,6130
291,6171
292,6212
293,6333
294,6334
295,6335
296,6336
297,6337
298,6338
299,6379
300,6380
301,6381
302,6422
303,6463
304,6504
305,6505
306,6506
307,6507
308,6508
309,6549
310,6550
311,6551
312,6552
313,6593
314,6634
315,6635
316,6636
317,6637
318,6678
319,6679
320,6720
321,6761
322,6762
323,6763
324,6804
325,6805
326,6846
327,6847
328,6848
329,6849
330,6850
331,6851
332,6852
333,6853
334,6854
335,6855
336,6856
337,6857
338,6858
339,6899
340,6900
341,6901
342,6942
343,6943
344,6944
345,6945
346,7066
347,7067
348,7068
349,7069
350,7110
351,7111
352,7152
353,7153
354,7154
355,7195
356,7196
357,7197
358,7198
359,7239
360,7280
361,7281
362,7282
363,7283
364,7404
365,7445
366,7486
367,7487
368,7528
369,7529
370,7530
371,7531
372,7532
373,7573
374,7574
375,7575
376,7576
377,7577
378,7578
379,7579
380,7580
381,7621
382,7622
383,7663
384,7704
385,7705
386,7706
387,7747
388,7788
389,7789
390,7790
391,7831
392,7832
393,7833
394,7834
395,7835
396,7836
397,7837
398,7878
399,7919
400,7920
401,7921
402,7922
403,8043
404,8044
405,8045
406,8046
407,8047
408,8048
409,8049
410,8050
411,8051
412,8052
413,8053
414,8054
415,8175
416,8216
417,8257
418,8258
419,8559
420,8560
421,8561
422,8562
423,8563
424,8564
425,8565
426,8566
427,8607
428,8608
429,8729
430,8770
431,8771
432,8772
433,8773
434,8774
435,8815
436,8816
437,8817
438,8938
439,8939
440,8940
441,8941
442,8942
443,8943
444,9064
445,9065
446,9066
447,9107
448,9108
449,9109
450,9230
451,9271
452,9392
453,9433
454,9434
455,9435
456,9436
457,9477
458,9518
459,9519
460,9520
461,9521
462,9562
463,9603
464,9604
465,9605
466,9646
467,9647
468,9648
469,9649
470,9650
471,9651
472,9652
473,9653
474,9694
475,9735
476,9736
477,9737
478,9738
479,9859
480,9860
481,9861
482,9862
483,9863
484,9864
485,9985
486,9986
487,10027
488,10068
489,10109
490,10150
491,10151
492,10152
493,10153
494,10154
495,10195
496,10236
497,10237
498,10238
499,10239
500,10280
501,10281
502,10322
503,10323
504,10324
505,10325
506,10326
507,10367
508,10368
509,10409
510,10410
511,10411
512,10452
513,10453
514,10454
515,10455
516,10456
517,10497
518,10498
519,10499
520,10540
521,10581
522,10582
523,10583
524,10624
525,10625
526,10666
527,10707
528,10708
529,10709
530,10750
531,10791
532,10832
533,10833
534,10834
535,10875
536,10876
537,10917
538,10918
539,10919
540,10920
541,11041
542,11042
543,11043
544,11164
545,11165
546,11206
547,11247
548,11248
549,11249
550,11250
551,11251
552,11292
553,11293
554,11294
555,11295
556,11296
557,11297
558,11298
559,11299
560,11300
561,11421
562,11422
563,11423
564,11464
565,11465
566,11506
567,11507
568,11548
569,11589
570,11630
571,11631
572,11672
573,11673
574,11674
575,11715
576,11756
577,11797
578,11838
579,11879
580,11920
581,11921
582,11922
583,11963
584,12004
585,12005
586,12006
587,12007
588,12048
589,12089
590,12090
591,12091
592,12092
593,12133
594,12174
595,12175
596,12176
597,12177
598,12218
599,12219
600,12220
601,12221
602,12222
603,12223
604,12264
605,12305
606,12426
607,12427
608,12428
609,12429
610,12430
611,12431
612,12432
613,12433
614,12434
615,12475
616,12476
617,12517
618,12558
619,12599
620,12600
621,12601
622,12602
623,12643
624,12644
625,12645
626,12686
627,12687
628,12688
629,12689
630,12690
631,12731
632,12732
633,12773
634,12774
635,12815
636,12816
637,12817
638,12858
639,12859
640,12900
641,12901
642,12902
643,12943
644,12984
645,13025
646,13026
647,13027
648,13068
649,13109
650,13110
651,13111
652,13112
653,13113
654,13114
655,13155
656,13156
657,13157
658,13198
659,13239
660,13240
661,13281
662,13322
663,13323
664,13324
665,13325
666,13366
667,13367
668,13368
669,13409
670,13410
671,13451
672,13492
673,13493
674,13494
675,13495
676,13536
677,13537
678,13578
679,13579
680,13580
681,13621
682,13622
683,13623
684,13664
685,13665
686,13666
687,13707
688,13708
689,13709
690,13750
691,13751
692,13752
693,13793
694,13834
695,13835
696,13836
697,13877
698,13878
699,13879
700,13880
701,13881
702,14002
703,14043
704,14084
705,14085
706,14086
707,14087
708,14088
709,14089
710,14090
711,14091
712,14212
713,14213
714,14254
715,14255
716,14256
717,14257
718,14258
719,14259
720,14260
721,14261
722,14262
723,14263
724,14304
725,14425
726,14426
727,14427
728,14428
729,14549
730,14550
731,14551
732,14552
733,14593
734,14594
735,14635
736,14636
737,14637
738,14638
739,14639
740,14680
741,14681
742,14682
743,14723
744,14764
745,14805
746,14806
747,14847
748,14888
749,14929
750,14970
751,14971
752,15012
753,15013
754,15014
755,15015
756,15016
757,15017
758,15018
759,15059
760,15060
761,15061
762,15062
763,15183
764,15184
765,15185
766,15306
767,15307
768,15308
769,15309
770,15430
771,15471
772,15472
773,15473
774,15474
775,15475
776,15516
777,15517
778,15518
779,15519
780,15520
781,15561
782,15562
783,15563
784,15564
785,15565
786,15566
787,15567
788,15608
789,15649
790,15650
791,15691
792,15732
793,15773
794,15814
795,15815
796,15816
797,15817
798,15818
799,15859
800,15900
801,15941
802,15942
803,15943
804,15944
805,15985
806,15986
807,15987
808,15988
809,15989
810,16030
811,16031
812,16032
813,16073
814,16074
815,16115
816,16116
817,16157
818,16158
819,16199
820,16200
821,16201
822,16202
823,16203
824,16204
825,16205
826,16206
827,16507
828,16548
829,16549
830,16550
831,16551
832,16552
833,16593
834,16594
835,16715
836,16756
837,16797
838,16798
839,16799
840,16800
841,16841
842,16842
843,16883
844,16884
845,16925
846,16926
847,16967
848,16968
849,16969
850,17010
851,17011
852,17012
853,17013
854,17054
855,17055
856,17056
857,17057
858,17098
859,17139
860,17140
861,17181
862,17182
863,17223
864,17224
865,17225
866,17226
867,17267
868,17268
869,17309
870,17350
