Move Number,Best Score
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,48
9,49
10,50
11,51
12,52
13,93
14,94
15,95
16,216
17,217
18,218
19,219
20,220
21,261
22,262
23,263
24,264
25,265
26,306
27,307
28,308
29,349
30,350
31,351
32,352
33,353
34,474
35,475
36,516
37,517
38,558
39,559
40,560
41,561
42,682
43,683
44,684
45,685
46,686
47,687
48,728
49,729
50,850
51,851
52,852
53,853
54,854
55,895
56,896
57,897
58,938
59,939
60,980
61,981
62,982
63,983
64,984
65,1105
66,1106
67,1107
68,1228
69,1229
70,1230
71,1231
72,1232
73,1353
74,1354
75,1355
76,1356
77,1357
78,1478
79,1479
80,1480
81,1481
82,1482
83,1483
84,1484
85,1485
86,1486
87,1487
88,1488
89,1489
90,1610
91,1611
92,1612
93,1613
94,1614
95,2815
96,2816
97,2817
98,2858
99,2979
100,2980
101,3021
102,3022
103,3023
104,3024
105,3025
106,3026
107,3067
108,3108
109,3109
110,3110
111,3151
112,3152
113,3153
114,3154
115,3275
116,3276
117,3277
118,3278
119,3279
120,3400
121,3401
122,3442
123,3443
124,3444
125,3445
126,3446
127,3447
128,3568
129,3569
130,3570
131,3571
132,3612
133,3613
134,3614
135,3735
136,3736
137,3737
138,3778
139,3779
140,3780
141,3781
142,3822
143,3823
144,3944
145,3945
146,4066
147,4067
148,4068
149,4069
150,4070
151,4071
152,4072
153,4193
154,4194
155,4235
156,4236
157,4237
158,4238
159,4239
160,4360
161,4361
162,4362
163,4363
164,4364
165,4405
166,4406
167,4407
168,4408
169,4709
170,4710
171,4711
172,4712
173,4713
174,4754
175,4795
176,4796
177,4797
178,4918
179,4919
180,4920
181,5041
182,5042
183,5043
184,5044
185,5045
186,5046
187,5047
188,5048
189,5049
190,5090
191,5211
192,5212
193,5253
194,5254
195,5255
196,5256
197,5257
198,5258
199,5259
200,5260
201,5261
202,5262
203,5383
204,5384
205,5425
206,5426
207,5427
208,5428
209,5429
210,5430
211,5551
212,5552
213,5553
214,5594
215,5715
216,5716
217,5757
218,5758
219,5759
220,5760
221,5801
222,5802
223,5803
224,5844
225,5845
226,5846
227,5847
228,5968
229,5969
230,6010
231,6011
232,6012
233,6133
234,6134
235,6135
236,6136
237,6137
238,6138
239,6179
240,6180
241,6181
242,6222
243,6223
244,6264
245,6305
246,6306
247,6307
248,6308
249,6309
250,6310
251,6311
252,6432
253,6433
254,6434
255,6435
256,6436
257,6477
258,6598
259,6599
260,6600
261,6601
262,6642
263,6643
264,6764
265,6765
266,6766
267,6767
268,6808
269,6809
270,6810
271,6811
272,6812
273,6853
274,6854
275,6895
276,6896
277,6937
278,6938
279,6939
280,6940
281,6981
282,6982
283,6983
284,6984
285,7105
286,7106
287,7107
288,7228
289,7229
290,7230
291,7231
292,7232
293,7233
294,7234
295,7235
296,7236
297,7237
298,7358
299,7359
300,7400
301,7401
302,7402
303,7403
304,7404
305,7405
306,7406
307,7407
308,7448
309,7449
310,7450
311,7451
312,7452
313,7453
314,7494
315,7615
316,7616
317,7617
318,7738
319,7739
320,7740
321,7741
322,7742
323,7863
324,7904
325,7905
326,7906
327,7947
328,7948
329,7949
330,7950
331,8251
332,8252
333,8253
334,8254
335,8375
336,8376
337,8377
338,8378
339,8419
340,8420
341,8421
342,8422
343,8423
344,8464
345,8465
346,8586
347,8587
348,8588
349,8589
350,8590
351,8711
352,8712
353,8713
354,8714
355,8715
356,8716
357,8837
358,8958
359,8959
360,8960
361,8961
362,8962
363,9003
364,9004
365,9005
366,9006
367,9007
368,9008
369,9009
370,9050
371,9091
372,9092
373,9213
374,9214
375,9215
376,9216
377,9217
378,9218
379,9219
380,9220
381,9341
382,9342
383,9463
384,9464
385,9465
386,9466
387,9467
388,9588
389,9589
390,9590
391,9631
392,9632
393,9753
394,9754
395,9755
396,9756
397,9757
398,9758
399,9879
400,9880
401,9881
402,9922
403,9923
404,9924
405,9925
406,9926
407,10047
408,10048
409,10049
410,10050
411,10051
412,10052
413,10053
414,10174
415,10175
416,10216
417,10217
418,10218
419,10219
420,10220
421,10521
422,10522
423,10523
424,10524
425,10525
426,10526
427,10527
428,10528
429,10529
430,10570
431,10691
432,10692
433,10733
434,10734
435,10735
436,10736
437,10737
438,10858
439,10859
440,10900
441,10901
442,10902
443,11023
444,11024
445,11025
446,11026
447,11027
448,11068
449,11109
450,11110
451,11111
452,11112
453,11113
454,11114
455,11115
456,11116
457,11117
458,11238
459,11279
460,11280
461,11401
462,11402
463,11403
464,11404
465,11525
466,11526
467,11527
468,11528
469,11649
470,11650
471,11651
472,11772
473,11773
474,11774
475,11775
476,11776
477,11777
478,11778
479,11779
480,11780
481,11781
482,11782
483,11783
484,11784
485,11785
486,12086
487,12087
488,12088
489,12089
490,12090
491,12091
492,12212
493,12213
494,12214
495,12215
496,12256
497,12257
498,12378
499,12379
500,12380
501,12381
502,12382
503,12383
504,12504
505,12505
506,12506
507,12507
508,12508
509,12509
510,12510
511,12511
512,12512
513,12513
514,12814
515,12815
516,12816
517,12817
518,12938
519,12939
520,12980
521,12981
522,12982
523,13023
524,13024
525,13025
526,13026
527,13067
528,13068
529,13189
530,13190
531,13191
532,13232
533,13233
534,13234
535,13235
536,13236
537,13237
538,13358
539,13359
540,13360
541,13361
542,13402
543,13403
544,13404
545,13405
546,13406
547,13407
548,13408
549,13409
550,13410
551,13711
552,13712
553,13833
554,13834
555,13835
556,13876
557,13877
558,13878
559,13879
560,13880
561,13921
562,13922
563,13923
564,14044
565,14045
566,14086
567,14207
568,14208
569,14209
570,14210
571,14211
572,14212
573,14213
574,14214
575,14255
576,14256
577,14257
578,14258
579,14259
580,14260
581,14261
582,14262
583,15463
584,15464
585,15465
586,15466
587,15467
588,15468
589,15589
590,15590
591,15591
592,15592
593,15593
594,15594
595,15715
596,15716
597,15717
598,15838
599,15839
600,15840
601,15841
602,15882
603,15883
604,15884
605,15925
606,15926
607,15927
608,15928
609,15969
610,16090
611,16091
612,16092
613,16093
614,16094
615,16095
616,16216
617,16217
618,16218
619,16339
620,16340
621,16341
622,16342
623,16383
624,16384
625,16385
626,16386
627,16387
628,16428
629,16429
630,16550
631,16551
632,16592
633,16593
634,16594
635,16595
636,16596
637,16597
638,16718
639,16759
640,16760
641,16761
642,16802
643,16803
644,16804
645,16925
646,16926
647,16967
648,16968
649,16969
650,17010
651,17011
652,17012
653,17053
654,17054
655,17055
656,17056
657,17057
658,17058
659,17179
660,17180
661,17181
662,17182
663,17183
664,17184
665,17305
666,17306
667,17307
668,17348
669,17349
670,17350
671,17351
672,17392
673,17393
674,17514
675,17515
676,17516
677,17637
678,17638
679,17639
680,17760
681,17761
682,17762
683,17763
684,17764
685,17765
686,17766
687,17767
688,17768
689,17769
690,17770
691,17771
692,17772
693,17813
694,17934
695,17935
696,17976
697,17977
698,18018
699,18059
700,18060
701,18061
702,18062
703,18063
704,18064
705,18065
706,18066
707,18107
708,18108
709,18109
710,18110
711,18151
712,18452
713,18453
714,18454
715,18455
716,18456
717,18497
718,18618
719,18619
720,18620
721,18621
722,18622
723,18623
724,18624
725,18625
726,18666
727,18967
728,18968
729,18969
730,18970
731,18971
732,19012
733,19013
734,19014
735,19015
736,19016
737,19057
738,19098
739,19139
740,19140
741,19141
742,19262
743,19263
744,19264
745,19305
746,19306
747,19307
748,19348
749,19349
750,19470
751,19471
752,19472
753,19473
754,19474
755,19475
756,19476
757,19477
758,19598
759,19599
760,19600
761,19601
762,19602
763,19603
764,19604
765,19605
766,19726
767,19727
768,19728
769,19729
770,19770
771,19771
772,19772
773,19893
774,19894
775,19895
776,20016
777,20017
778,20018
779,20019
780,20020
781,20021
782,20022
783,20143
784,20144
785,20145
786,20146
787,20187
788,20188
789,20189
790,20230
791,20231
792,20232
793,20233
794,20234
795,20235
796,20276
797,20277
798,20398
799,20399
800,20400
801,20401
802,20402
803,20403
804,20704
805,20705
806,20706
807,20707
808,20708
809,20709
810,20710
811,20751
812,20752
813,20753
814,20794
815,20795
816,20796
817,20797
818,20798
819,20799
820,20800
821,20921
822,20922
823,20923
824,20924
825,20925
826,20926
827,20927
828,21228
829,21269
830,21270
831,21271
832,21272
833,21313
834,22514
835,22515
836,22516
837,22517
838,22518
839,22519
840,22640
841,22641
842,22642
843,22643
844,22644
845,22645
846,22686
847,22727
848,22728
849,22729
850,22850
851,22851
852,22852
853,22973
854,22974
855,22975
856,22976
857,23017
858,23018
859,23019
860,23060
861,23061
862,23062
863,23063
864,23064
865,23185
866,23186
867,23187
868,23228
869,23229
870,23270
871,23271
872,23392
